Date,Sales_Rep,Product,Items_Sold,Sales_Amount,Profit
3/30/2024,Diana,Headphones,8,106.78,28.85
1/14/2024,Bob,Headphones,1,302.8,81.8
1/27/2024,Charlie,Laptop,6,428.82,115.84
1/9/2024,Diana,Tablet,5,539.03,145.62
3/19/2024,Bob,Headphones,6,865.74,233.88
1/15/2024,Alice,Tablet,5,179.1,48.38
3/30/2024,Charlie,Tablet,6,825.28,222.95
2/11/2024,Alice,Smartphone,5,150.09,40.55
3/17/2024,Alice,Laptop,5,858.08,231.81
2/20/2024,Bob,Headphones,4,146.47,39.57
3/3/2024,Diana,Smartphone,3,116.42,31.45
4/5/2024,Bob,Smartphone,3,727.27,196.47
2/21/2024,Bob,Headphones,4,997.53,269.48
4/5/2024,Bob,Tablet,9,906.95,245.01
1/4/2024,Bob,Smartphone,2,618.4,167.06
4/3/2024,Charlie,Tablet,9,925.66,250.06
1/23/2024,Diana,Laptop,1,104.77,28.3
1/15/2024,Alice,Tablet,1,977.56,264.08
2/12/2024,Alice,Laptop,5,541.67,146.33
1/29/2024,Diana,Tablet,6,750.61,202.77
2/5/2024,Alice,Smartphone,6,838.78,226.59
1/13/2024,Diana,Smartphone,3,746.61,201.69
2/1/2024,Alice,Laptop,7,581.53,157.1
3/11/2024,Bob,Headphones,9,528.96,142.9
2/28/2024,Alice,Laptop,8,854.72,230.9
3/26/2024,Diana,Laptop,6,284.57,76.88
1/28/2024,Diana,Tablet,8,971.19,262.36
3/6/2024,Diana,Tablet,5,739.86,199.87
2/11/2024,Diana,Laptop,8,279.56,75.52
2/14/2024,Diana,Smartphone,4,762.62,206.02
3/2/2024,Charlie,Tablet,8,576.86,155.84
2/26/2024,Charlie,Headphones,2,736.51,198.96
1/6/2024,Alice,Tablet,5,791,213.69
1/28/2024,Diana,Tablet,9,178.56,48.24
1/28/2024,Alice,Headphones,4,555.49,150.06
2/13/2024,Diana,Laptop,6,938.81,253.62
3/24/2024,Diana,Headphones,1,388.58,104.97
1/30/2024,Charlie,Laptop,9,634.49,171.4
3/2/2024,Charlie,Laptop,1,432.31,116.79
3/15/2024,Bob,Laptop,5,508.84,137.46
4/1/2024,Charlie,Headphones,4,593.74,160.4
3/29/2024,Bob,Laptop,3,594.03,160.47
3/2/2024,Bob,Smartphone,6,281.56,76.06
4/6/2024,Bob,Headphones,2,716.11,193.45
1/1/2024,Bob,Smartphone,3,179.08,48.38
1/27/2024,Bob,Laptop,5,224.94,60.77
3/2/2024,Alice,Tablet,9,102.44,27.67
3/17/2024,Charlie,Laptop,2,205.03,55.39
1/3/2024,Bob,Smartphone,8,525.85,142.06
3/10/2024,Diana,Smartphone,2,645.49,174.38
3/12/2024,Charlie,Headphones,5,814.86,220.13
1/27/2024,Charlie,Tablet,7,196.03,52.96
